nomAttribuant,nomBénéficiaire,montant,nature,objet,montant_reuse,datepublication,idAttribuant,dateConvention,referenceDecision,idBeneficiaire,conditionsVersement,datesPériodeVersement,idRAE,notificationUE,pourcentageSubvention,date_deb,date_fin,objet_reuse
BORDEAUX METROPOLE,COS DU PERSONNEL DE BORDEAUX METROPOLE,1680000,aide en numéraire,Fonctionnement,Supérieur à 500 000€,43887,24330031600000.0,43858,2019/775,48301340500000.0,échelonné,2020-01-28/2020-07-28,sans objet,non,1.00,43858,,Fonctionnement
BORDEAUX METROPOLE,UNION BORDEAUX METROPOLE (UBM),165000,aide en numéraire,Fonctionnement renouvellement 2020,Entre 100 000€ et 500 000€,43887,24330031600000.0,43510,2018/804,41892140900000.0,échelonné,2019-02-14/2019-08-14,sans objet,non,1.00,43510,,Autre objet
BORDEAUX METROPOLE,SOLIHA,20000,aide en numéraire,"Habitat plateforme ""louer clé en mains""",Inférieur à 30 000€,43984,24330031600000.0,43613,2019/167,78184854400000.0,échelonné,2019-05-28/2019-11-28,sans objet,non,1.00,43613,,Autre objet
BORDEAUX METROPOLE,AFEPT,2500,aide en numéraire,Subvention de fonctionnement,Inférieur à 30 000€,44897,24330031600011.0,44831,2022/427,30016423300052.0,unique,2022-09-27/2023-03-27,sans objet,non,1.00,44831,,Autre objet
BORDEAUX METROPOLE,SOLIHA,216600,aide en numéraire,Subvention de fonctionnement,Entre 100 000€ et 500 000€,44897,24330031600011.0,44811,2022/392,78184854400032.0,échelonné,2022-09-07/2023-03-07,sans objet,non,1.00,44811,,Autre objet
BORDEAUX METROPOLE,CENTRE SOCIAL DE BORDEAUX NORD,2000,aide en numéraire,Projet ALLADIN 2022,Inférieur à 30 000€,44897,24330031600011.0,44819,2022/378,78184921100029.0,unique,2022-09-15/2023-03-15,sans objet,non,1.00,44819,,Autre objet
BORDEAUX METROPOLE,MAISON DE L'EMPLOI DE BORDEAUX,25000,aide en numéraire,Subvention de Fonctionnement,Inférieur à 30 000€,44897,24330031600011.0,44887,2022/473,49058526200069.0,échelonné,2022-11-22/2023-05-22,sans objet,non,1.00,44887,,Autre objet
BORDEAUX METROPOLE,ESPACE TEXTILE,23100,aide en numéraire,"Appel à Projets 
Emploi et Quartier",Inférieur à 30 000€,44943,24330031600011.0,44896,2022/717,85029215200012.0,unique,2022-12-01/2023-06-01,sans objet,non,1.00,44896,,Autre objet
BORDEAUX METROPOLE,WEJOB,65000,aide en numéraire,"Appel à Projets 
Parcarité Etudiante",Entre 30 000€ et 100 000€,44943,24330031600011.0,44897,2022/623,82182204600024.0,unique,2022-12-02/2023-06-02,sans objet,non,1.00,44897,,Autre objet
BORDEAUX METROPOLE,Vélo Cité,55000,aide en numéraire,Aide au fonctionnement,Entre 30 000€ et 100 000€,45014,24330031600011.0,44902,2022/581,43288382500031.0,échelonné,2022-12-07/2023-06-07,sans objet,non,1.00,44902,,Autre objet
